timestamp,object_id,color,bin,area,x,y,w,h
2026-01-08 00:06:16,1,BLUE,BIN B,42457,208,46,275,226
2026-01-08T00:15:41.408606,1,BLUE,BIN B,30955
2026-01-08T15:07:17,1,BLUE,BIN B,30955
2026-01-08T15:07:18,2,BLUE,BIN B,1515
2026-01-08T15:07:18,3,BLUE,BIN B,128844
2026-01-08T15:07:20,4,BLUE,BIN B,7681
2026-01-08T15:17:31,1,BLUE,BIN B,30955
2026-01-08T15:17:32,2,BLUE,BIN B,1515
2026-01-08T15:17:32,3,BLUE,BIN B,128844
2026-01-08T15:17:33,4,BLUE,BIN B,7681
2026-01-08T15:22:14,1,BLUE,BIN B,30955
2026-01-08T15:22:16,2,BLUE,BIN B,1515
2026-01-08T15:22:16,3,BLUE,BIN B,128844
2026-01-08T15:22:21,4,BLUE,BIN B,7681
2026-01-08T15:28:15,1,BLUE,BIN B,30955
2026-01-08T15:28:19,2,BLUE,BIN B,1515
2026-01-08T15:28:19,3,BLUE,BIN B,128844
2026-01-08T15:28:20,4,BLUE,BIN B,7681
